Province;Capital;Area_km2;Population;Zipcode
Brussels;Brussels;161;1175173;1000?1299
Walloon Brabant;Wavre;1093;401106;1300?1499
Flemish Brabant;Leuven;2106;1138489;1500?1999
Antwerp;Antwerp;2860;1847486;2000?2999
Flemish Brabant;Leuven;2106;1138489;3000?3499
Limburg;Hasselt;2414;87088;3500?3999
Liege;Liege;3844;1105326;4000?4999
Namur;Namur;3664;493073;5000?5999
Hainut;Mons;3800;1341645;6000?6599
Hainut;Mons;3800;1341645;7000?7999
Luxembourg;Arlon;4443;283227;6600?6999
West Flanders;Bruges;3151;1191059;8000?8999
East Flanders;Ghent;2982;1505053;9000?9999