,energy1,energy1label,energy2,energy2label,reference,modified,published,municipality,adressdescription,postalcode,euro/m²,price,honoraires,heating,rooms,pieces,dummygarden,bathroom,dummyterrace,dummycellar,dummyparking,dummyelevator,livingsurface,totalsurface
0,Vierge,NA,Vierge,NA,GB00092048,21 nov  2019 ,,Tourcoing,Blanche Porte - Flocon ,59200 ,484.0,192187, honoraires à la charge du vendeur,,, 1 ,,,,1.0,1.0,, 397,
1,143,C,25,D,VNMW1668,30 nov  2019 ,,Roubaix,Fresnoy - Mackellerie ,59100 ,1714.0,625000,  4, Gaz Individuel, 6, 9 ,1.0,,,1.0,1.0,, 350,1000.0
2,267,E,53,E,VM23257-IMMOTRAM2,5 dec  2019 ,,Roubaix,,59100,1152.0,399000,  5, gaz individuel, 7, 9 ,1.0, 2 ,,1.0,1.0,, 330,731.0
3,134,C,31,D,ROUB-350k-13857,30 nov  2019 ,,Roubaix,Sainte-Elisabeth ,59100 ,1061.0,350000,,, 5, 9 ,,,,,,, 330,
4,189,D,44,E,SO1641,23 oct  2019 ,,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,1667.0,500000, honoraires à la charge du vendeur, radiateur gaz individuel, 7, 9 ,1.0, 2 ,,1.0,,, 300,650.0
5,En cours de réalisation,NA,En cours de réalisation,NA,24846238,,,Tourcoing,,59200,730.0,219000, honoraires à la charge du vendeur, ELECTRICITE INDIVIDUEL,, 3 ,1.0, 1 ,,,1.0,,,
6,159,D,,E,96746MX2220,13 dec  2019 ,5 nov  2019 ,Roubaix,,59100,1407.0,394000, honoraires à la charge du vendeur,, 5, 9 ,1.0, 1 ,,,1.0,, 280,500.0
7,Non soumis,NA,En cours de réalisation,NA,3904067,,13 dec  2019 ,Roubaix,Fosses aux Chênes - Alma Gare ,59100 ,941.0,254000, honoraires à la charge du vendeur, gaz,,,,,,,,, 270,
8,200,D,En cours de réalisation,NA,12423673,22 oct  2019 ,,Roubaix,,59100,1256.0,339000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 5, 9 ,1.0, 2 ,,,,,,
9,Vierge,NA,En cours de réalisation,NA,1111,6 dec  2019 ,6 nov  2019 ,Tourcoing,Centre-ville ,59200 ,1280.0,320000, honoraires à la charge du vendeur, gaz individuel, 5, 7 ,, 2 ,,,,, 250,
10,En cours de réalisation,NA,En cours de réalisation,NA,27657865,13 dec  2019 ,,Tourcoing,,59200,1340.0,335000, honoraires à la charge du vendeur, GAZ, 5, 6 ,1.0, 2 ,,1.0,1.0,,,
11,175,D,30,D,VM23878-IMMOTRAM2,5 dec  2019 ,23 nov  2019 ,Tourcoing,,59200,1460.0,380000,  4, gaz, 6, 7 ,, 3 ,,1.0,,, 250,
12,154,D,,D,97571MX2220,13 dec  2019 ,5 nov  2019 ,Roubaix,,59100,903.0,224000, honoraires à la charge du vendeur,, 4, 9 ,1.0, 1 ,,,1.0,, 248,24.0
13,254,E,19,C,1VDU10000030,17 dec  2019 ,,Roubaix,Hommelet ,59100 ,1313.0,288750,, radiateur électrique individuel, 4, 8 ,,,,,,1.0, 220,
14,34,A,165,G,VM23718-IMMOTRAM2,,,Roubaix,,59100,1868.0,429000,  4, gaz individuel, 6, 7 ,1.0, 1 ,,1.0,,, 219,193.0
15,146,C,28,D,120901E12603,28 nov  2019 ,,Tourcoing,Centre-ville ,59200 ,1197.0,253800, honoraires à la charge du vendeur, individuel, 4, 5 ,1.0, 2 ,,,,, 212,15.0
16,160,D,24,D,6995,17 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,1214.0,269000,  5, gaz, 4, 6 ,, 1 ,,1.0,1.0,, 210,
17,150,C,En cours de réalisation,NA,27062421,1 nov  2019 ,,Tourcoing,,59200,1343.0,282000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 5, 6 ,1.0, 1 ,,,1.0,,,
18,Non soumis,NA,En cours de réalisation,NA,3892551,,6 dec  2019 ,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,1854.0,380000, honoraires à la charge du vendeur, gaz, 4, 7 ,1.0, 1 ,,,1.0,, 205,340.0
19,140,C,32,D,27354541,4 dec  2019 ,,Tourcoing,Virolois ,59200 ,1522.0,309000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 5, 6 ,1.0, 1 ,1.0,1.0,1.0,,,136.0
20,999,G,999,G,VA22227-IMMOTRAM2,,23 oct  2019 ,Tourcoing,,59200,1400.0,295000,  5, gaz, 5, 9 ,, 1 ,,,,, 200,
21,Non soumis,NA,En cours de réalisation,NA,VM23870-IMMOTRAM2,9 dec  2019 ,26 nov  2019 ,Roubaix,,59100,1500.0,315000,  5, électricité, 4, 5 ,, 2 ,,1.0,1.0,, 200,
22,Vierge,NA,En cours de réalisation,NA,103261MX2220,13 dec  2019 ,24 nov  2019 ,Roubaix,,59100,979.0,186000, honoraires à la charge du vendeur,, 7, 9 ,1.0, 1 ,,,,, 190,15.0
23,146,C,28,D,4350UBI,29 nov  2019 ,22 oct  2019 ,Tourcoing,Centre-ville ,59200 ,1320.0,250800, honoraires à la charge du vendeur,, 4, 5 ,, 1 ,,1.0,,, 190,
24,Vierge,NA,En cours de réalisation,NA,1114,6 dec  2019 ,13 nov  2019 ,Tourcoing,Centre-ville ,59200 ,1076.0,199000, honoraires à la charge du vendeur, gaz individuel, 3, 4 ,, 1 ,,,1.0,, 185,
25,Vierge,NA,En cours de réalisation,NA,7443,11 dec  2019 ,,Tourcoing,Brun Pain - Francs - Clinquet ,59200 ,1486.0,290000,  5, gaz individuel, 4, 5 ,, 2 ,,,1.0,, 185,
26,300,E,En cours de réalisation,NA,17513770,,,Tourcoing,,59200,1772.0,319000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL, 5, 7 ,1.0, 1 ,,1.0,,,,70.0
27,Vierge,NA,En cours de réalisation,NA,860,6 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,1272.0,229000, honoraires à la charge du vendeur, gaz individuel, 4, 5 ,, 1 ,,,,, 180,
28,152,D,,D,97948MX2220,13 dec  2019 ,5 nov  2019 ,Tourcoing,,59200,1640.0,287000, honoraires à la charge du vendeur,, 3, 6 ,1.0, 1 ,,,1.0,, 175,225.0
29,Non soumis,NA,En cours de réalisation,NA,VM23884-IMMOTRAM2,5 dec  2019 ,4 dec  2019 ,Roubaix,,59100,853.0,155000,  6, gaz, 3, 4 ,1.0, 1 ,,1.0,,, 170,163.0
30,161,D,37,E,120901E0JH9U,28 nov  2019 ,,Tourcoing,Croix Rouge ,59200 ,1862.0,316500, honoraires à la charge du vendeur, individuel, 10, 11 ,1.0, 4 ,,,1.0,, 170,80.0
31,146,C,28,D,785,6 dec  2019 ,29 nov  2019 ,Tourcoing,Centre-ville ,59200 ,1465.0,249000, honoraires à la charge du vendeur, gaz individuel, 4, 6 ,, 2 ,,,,, 170,
32,127,C,19,C,V150003820,28 nov  2019 ,,Tourcoing,Gambetta ,59200 ,1941.0,345000,  4, radiateur gaz individuel, 4, 5 ,, 4 ,,,,, 170,
33,Non soumis,NA,En cours de réalisation,NA,VA23506-IMMOTRAM2,5 dec  2019 ,,Roubaix,,59100,1339.0,236000,  4, gaz individuel, 3, 4 ,, 1 ,,,,, 168,
34,En cours de réalisation,NA,En cours de réalisation,NA,120901E1FG4Q,28 nov  2019 ,,Roubaix,Epeule - Trichon ,59100 ,938.0,150000, honoraires à la charge du vendeur, individuel, 6, 7 ,1.0,,,,,, 160,30.0
35,173,D,41,E,27788804,,7 dec  2019 ,Tourcoing,Virolois ,59200 ,1469.0,235000, honoraires à la charge du vendeur, INDIVIDUEL, 3, 4 ,,,,,1.0,1.0, 160,
36,Vierge,NA,En cours de réalisation,NA,1061,6 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,2281.0,365000, honoraires à la charge du vendeur, fuel individuel, 5, 6 ,, 1 ,,,1.0,, 160,
37,Non soumis,NA,Non soumis,NA,DGVMA40000020,17 dec  2019 ,,Roubaix,Epeule - Trichon ,59100 ,1019.0,159000, honoraires à la charge du vendeur,, 3, 3 ,,,1.0,1.0,,, 156,
38,258,E,60,F,73154,14 dec  2019 ,10 dec  2019 ,Tourcoing,,59200,2147.0,350000,  4, gaz individuel, 3, 8 ,, 1 ,,1.0,,1.0, 156,
39,63,B,14,C,4487,21 nov  2019 ,,Tourcoing,Virolois ,59200 ,1286.0,199000, honoraires à la charge du vendeur, gaz individuel, 3, 4 ,, 2 ,,,1.0,1.0,74,
40,Vierge,NA,En cours de réalisation,NA,VM23744-IMMOTRAM2,,,Tourcoing,,59200,2233.0,350000,  4, gaz individuel, 6, 6 ,1.0, 1 ,,,1.0,, 150,454.0
41,212,D,37,E,VM23880-IMMOTRAM2,14 dec  2019 ,27 nov  2019 ,Tourcoing,,59200,2380.0,374000,  4, gaz individuel, 4, 5 ,1.0, 1 ,,1.0,1.0,, 150,356.0
42,152,D,19,C,21565910,,,Roubaix,,59100,987.0,148000, honoraires à la charge du vendeur, RADIATEUR FUEL INDIVIDUEL, 4, 5 ,1.0, 1 ,,1.0,,,,140.0
43,En cours de réalisation,NA,En cours de réalisation,NA,120901E1854E,11 dec  2019 ,,Tourcoing,Blanche Porte - Flocon ,59200 ,790.0,118500, honoraires à la charge du vendeur, individuel, 3, 4 ,1.0, 1 ,,,,, 150,36.0
44,288,E,16,C,1089,6 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,2033.0,305000, honoraires à la charge du vendeur, électricité individuel, 3, 4 ,, 1 ,,,1.0,, 150,
45,NA,NA,NA,NA,ROUBA3,13 dec  2019 ,,Roubaix,Barbieux - Edouard Vaillant - Vauban ,59100 ,,159000,,,, 1 à 4 ,,,,,,, 41 à 143,
46,227,D,43,E,4494,7 dec  2019 ,7 dec  2019 ,Tourcoing,Centre-ville ,59200 ,1754.0,249000, honoraires à la charge du vendeur, gaz individuel, 3, 4 ,, 1 ,,1.0,,, 142,
47,217,D,50,E,120003E18WIS,28 nov  2019 ,,Tourcoing,Epidème ,59200 ,1027.0,147500,  2, individuel, 3, 4 ,1.0, 2 ,,,,, 140,91.0
48,155,D,41,E,24817894,16 nov  2019 ,,Tourcoing,,59200,1036.0,145000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 5, 6 ,1.0, 1 ,,,1.0,,,65.0
49,215,D,7,B,28388943,,26 nov  2019 ,Roubaix,,59100,1290.0,178000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL, 3, 4 ,1.0, 1 ,,1.0,1.0,,,
50,140,C,20,C,VA23558-IMMOTRAM2,5 dec  2019 ,,Tourcoing,,59200,1522.0,220000,  4, gaz collectif, 2, 3 ,, 1 ,,1.0,,, 138,
51,NA,NA,NA,NA,52-VMO-213581,,16 dec  2019 ,Roubaix,Hommelet ,59100 ,2007.0,272900,,, 4, 5 ,,,,,,, 136,
52,300,E,,E,17488676,,,Roubaix,,59100,911.0,123000, honoraires à la charge du vendeur, poele pellet + buche BOIS INDIVIDUEL, 4, 7 ,, 1 ,,,,, 135,
53,148,C,27,D,VM23732-IMMOTRAM2,,,Roubaix,,59100,1037.0,148500,  6, gaz individuel, 4, 5 ,, 1 ,,,,, 135,
54,151,D,En cours de réalisation,NA,957,6 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,1185.0,160000, honoraires à la charge du vendeur, gaz individuel, 2, 3 ,, 1 ,,,1.0,, 135,
55,265,E,49,E,VM23740-IMMOTRAM2,17 dec  2019 ,20 nov  2019 ,Tourcoing,,59200,1481.0,210000,  5, gaz individuel, 4, 5 ,, 1 ,,,,, 135,
56,230,D,En cours de réalisation,NA,27778632,28 nov  2019 ,23 oct  2019 ,Tourcoing,,59200,1770.0,239000, honoraires à la charge du vendeur, RADIATEUR GRANULES INDIVIDUEL, 3, 4 ,1.0, 2 ,1.0,,1.0,,,
57,215,D,7,B,VA23500-IMMOTRAM2,,,Roubaix,,59100,1278.0,178000,  4, électricité individuel, 3, 4 ,, 1 ,,,1.0,, 133,
58,Non soumis,NA,En cours de réalisation,NA,VA23474-IMMOTRAM2,,,Roubaix,,59100,1917.0,267000,  4, gaz collectif, 2, 4 ,, 1 ,,1.0,,, 133,
59,999,G,999,G,VA2095-IMMOMETRO2,6 dec  2019 ,30 oct  2019 ,Roubaix,,59100,1917.0,267000,  4, gaz collectif, 2, 3 ,, 1 ,,,,, 133,
60,Vierge,NA,Vierge,NA,1351GL2719,29 nov  2019 ,,Tourcoing,Gambetta ,59200 ,1500.0,195000, honoraires à la charge du vendeur,, 3, 5 ,1.0,,,,,, 130,202.0
61,157,D,17,C,120901E1GQNK,9 dec  2019 ,18 nov  2019 ,Tourcoing,Croix Rouge ,59200 ,1631.0,212000, honoraires à la charge du vendeur, individuel, 3, 4 ,1.0, 2 ,,,1.0,, 130,95.0
62,Vierge,NA,En cours de réalisation,NA,VM23704-IMMOTRAM2,5 dec  2019 ,4 dec  2019 ,Tourcoing,,59200,1538.0,210000,  5, gaz individuel, 4, 5 ,1.0, 2 ,,1.0,,, 130,94.0
63,107,C,25,D,4495,29 nov  2019 ,27 nov  2019 ,Tourcoing,Blanche Porte - Flocon ,59200 ,1460.0,189750, honoraires à la charge du vendeur, gaz individuel, 4, 5 ,1.0, 1 ,,1.0,,, 130,90.0
64,101,C,23,D,SO1642,29 nov  2019 ,,Roubaix,Fraternité - Chemin Neuf - Justice ,59100 ,2019.0,262500, honoraires à la charge du vendeur, radiateur gaz individuel, 4, 6 ,1.0,,,,,, 130,80.0
65,97,C,22,D,120906E1AEE7,18 dec  2019 ,,Roubaix,Cartigny - Hutin ,59100 ,1322.0,171800, honoraires à la charge du vendeur, individuel, 5, 6 ,1.0, 1 ,,,,, 130,60.0
66,168,D,15,C,so1692,29 nov  2019 ,,Roubaix,Pile ,59100 ,1215.0,158000, honoraires à la charge du vendeur, radiateur électrique individuel, 4, 5 ,1.0, 1 ,,1.0,,, 130,50.0
67,180,D,180,G,25394056,,,Tourcoing,,59200,1338.0,174000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 5, 6 ,1.0,,,,,,,50.0
68,200,D,6,B,18519492,,,Roubaix,,59100,1223.0,159000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL, 6, 7 ,, 1 ,,,,, 130,
69,150,C,10,B,21565609,,,Tourcoing,,59200,1454.0,189000, honoraires à la charge du vendeur, AIR PULSE pellets et elect INDIVIDUEL, 3, 4 ,, 1 ,,,1.0,, 130,
70,220,D,51,E,120901E1A8VA,28 nov  2019 ,13 nov  2019 ,Tourcoing,Brun Pain - Francs - Clinquet ,59200 ,1672.0,209000, honoraires à la charge du vendeur, individuel, 4, 5 ,1.0,,,,,, 125,160.0
71,184,D,,E,98185MX2220,13 dec  2019 ,5 nov  2019 ,Roubaix,,59100,1264.0,158000, honoraires à la charge du vendeur,, 5, 7 ,1.0, 1 ,,,,, 125,150.0
72,135,C,25,D,27054996,22 oct  2019 ,,Tourcoing,,59200,1344.0,168000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 4, 5 ,1.0, 1 ,,1.0,,,,80.0
73,173,D,8,B,70899,30 nov  2019 ,29 nov  2019 ,Tourcoing,,59200,1920.0,255000,  6, individuel, 4, 8 ,, 2 ,,,,, 125,
74,186,D,8,B,TOUR-180k-11944,30 nov  2019 ,,Tourcoing,Blanc Seau ,59200 ,1463.0,180000,,, 2, 6 ,,,,,,, 123,
75,97,C,22,D,120901E18QIU,28 nov  2019 ,,Roubaix,Fresnoy - Mackellerie ,59100 ,1092.0,132150, honoraires à la charge du vendeur, individuel, 4, 5 ,1.0, 2 ,,,,, 121,25.0
76,92,C,21,D,4503,,5 dec  2019 ,Tourcoing,Blanc Seau ,59200 ,1908.0,229000, honoraires à la charge du vendeur, gaz individuel, 3, 4 ,1.0, 1 ,,1.0,1.0,, 120,100.0
77,145,C,4,A,so1592,29 nov  2019 ,,Roubaix,Pile ,59100 ,1325.0,159000, honoraires à la charge du vendeur, électrique individuel, 4, 5 ,1.0, 1 ,,,,, 120,67.0
78,222,D,52,E,7500,28 nov  2019 ,31 oct  2019 ,Tourcoing,Blanc Seau ,59200 ,1333.0,169000,  5, gaz individuel, 4, 5 ,, 1 ,,,,, 120,
79,230,D,35,D,28399772,,27 nov  2019 ,Tourcoing,,59200,1742.0,209000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL, 3, 4 ,, 1 ,,,1.0,1.0, 120,
80,En cours de réalisation,NA,En cours de réalisation,NA,26065492,,20 nov  2019 ,Tourcoing,,59200,1950.0,234000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL, 2, 3 ,1.0, 1 ,,,1.0,1.0,,
81,114,C,26,D,1132,6 dec  2019 ,29 nov  2019 ,Tourcoing,Centre-ville ,59200 ,1629.0,189000, honoraires à la charge du vendeur, gaz individuel, 2, 3 ,, 1 ,,1.0,1.0,, 116,
82,174,D,,E,103557MX2220,13 dec  2019 ,11 dec  2019 ,Roubaix,,59100,1913.0,220000, honoraires à la charge du vendeur,, 3, 5 ,1.0, 1 ,,,1.0,, 115,274.0
83,145,C,4,A,VM23347-IMMOTRAM2,5 dec  2019 ,,Roubaix,,59100,1322.0,160000,  5, électricité, 4, 5 ,1.0,,,1.0,,, 115,67.0
84,,D,,C,so1681,29 nov  2019 ,,Roubaix,Sainte-Elisabeth ,59100 ,1243.0,143000, honoraires à la charge du vendeur, radiateur gaz individuel, 3, 4 ,1.0, 1 ,,,,, 115,60.0
85,210,D,,D,17484576,,,Roubaix,,59100,843.0,97000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 4, 7 ,,,,1.0,,, 115,
86,257,E,46,E,4485,29 nov  2019 ,26 oct  2019 ,Roubaix,Fresnoy - Mackellerie ,59100 ,948.0,109000, honoraires à la charge du vendeur, gaz individuel, 4, 5 ,, 1 ,,1.0,,, 115,
87,Vierge,NA,En cours de réalisation,NA,1075,6 dec  2019 ,,Tourcoing,Centre-ville ,59200 ,1461.0,168000, honoraires à la charge du vendeur, gaz individuel, 3, 4 ,, 1 ,,,,, 115,
88,230,D,5,A,22687105,,,Roubaix,,59100,1643.0,189000, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE + GRANULES INDIVIDUEL, 2, 3 ,1.0, 1 ,,,1.0,,,
89,En cours de réalisation,NA,En cours de réalisation,NA,120906E1BZN1,3 dec  2019 ,,Roubaix,Sartel - Carihem - Trois Ponts ,59100 ,1703.0,194100, honoraires à la charge du vendeur, individuel, 4, 5 ,1.0, 2 ,,,,, 114,110.0
90,Vierge,NA,,G,so1718,29 nov  2019 ,29 oct  2019 ,Roubaix,Sainte-Elisabeth ,59100 ,1398.0,158000, honoraires à la charge du vendeur, radiateur gaz individuel, 4, 7 ,1.0, 1 ,,,,, 113,111.0
91,135,C,32,D,VM23635-IMMOTRAM2,30 oct  2019 ,,Roubaix,,59100,2182.0,252000,  4, gaz individuel, 4, 5 ,1.0, 1 ,,1.0,1.0,, 110,455.0
92,215,D,55,E,VM23613-IMMOTRAM2,,,Roubaix,,59100,2045.0,235000,  4, fuel, 3, 5 ,1.0, 1 ,,1.0,1.0,, 110,116.0
93,180,D,180,G,27224049,14 dec  2019 ,,Tourcoing,,59200,1491.0,164000, honoraires à la charge du vendeur, GAZ, 3, 4 ,1.0, 1 ,,,,,,100.0
94,173,D,40,E,28507481,8 dec  2019 ,7 dec  2019 ,Tourcoing,,59200,1764.0,194000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 4, 5 ,1.0, 1 ,,,,,,100.0
95,227,D,9,B,VM23700-IMMOTRAM2,,7 nov  2019 ,Tourcoing,,59200,1500.0,175000,  6, électricité individuel, 4, 5 ,1.0, 1 ,,1.0,,, 110,83.0
96,102,C,23,D,VM23479-IMMOTRAM2,5 dec  2019 ,3 dec  2019 ,Tourcoing,,59200,1527.0,177000,  5, gaz, 3, 4 ,1.0, 1 ,,,,, 110,60.0
97,143,C,21,D,15191944,,,Tourcoing,,59200,1482.0,163000, honoraires à la charge du vendeur, RADIATEUR GAZ INDIVIDUEL, 3, 4 ,1.0, 1 ,,,,,,50.0
